"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2023","9.76","9.36","9.89","9.23","8.70M","5.74%"
"02/08/2023","9.23","9.57","9.57","9.20","3.99M","-2.33%"
"02/07/2023","9.45","9.59","9.67","9.39","7.33M","0.00%"
"02/06/2023","9.45","9.46","9.79","9.21","9.87M","1.18%"
"02/05/2023","9.34","9.47","9.47","8.26","26.67M","-0.21%"
"02/02/2023","9.36","10.09","10.20","9.26","9.87M","-5.45%"
"02/01/2023","9.90","10.15","10.30","9.86","10.98M","-1.98%"
"01/31/2023","10.10","10.41","10.92","10.08","12.60M","-2.88%"
"01/30/2023","10.40","11.29","11.33","10.32","11.74M","-6.98%"
"01/29/2023","11.18","11.49","11.55","11.10","8.44M","-1.67%"
"01/25/2023","11.37","11.44","11.48","10.95","10.23M","0.62%"
"01/24/2023","11.30","11.62","11.66","11.19","10.07M","-1.74%"
"01/23/2023","11.50","11.26","11.97","11.20","14.12M","2.68%"
"01/22/2023","11.20","11.60","11.74","11.20","7.97M","-1.67%"
"01/19/2023","11.39","10.85","11.39","10.62","8.66M","6.65%"
"01/18/2023","10.68","11.11","11.30","10.53","9.53M","-2.11%"
"01/17/2023","10.91","10.56","11.48","10.50","22.73M","4.40%"
"01/16/2023","10.45","10.74","10.74","10.39","9.59M","-1.51%"
"01/15/2023","10.61","10.47","11.14","10.46","24.42M","3.01%"
"01/12/2023","10.30","9.41","10.35","9.20","20.20M","10.63%"
"01/11/2023","9.31","9.14","10.10","9.08","30.56M","2.53%"
